"Flux","Spectral","O","B","A","F","G","K","M",
"-6","OB","Ia","Ia","Ia","II","II","II","II",
"-5","A","Ia","Ia","Ia","II","II","II","II",
"-4","A","Ib","Ib","Ib","III","III","III","II",
"-3","F","II","II","II","IV","IV","IV","II",
"-2","F","III","III","III","V","V","V","III",
"-1","G","III","III","IV","V","V","V","V",
"0","G","III","III","V","V","V","V","V",
"+1","K","V","III","V","V","V","V","V",
"+2","K","V","V","V","V","V","V","V",
"+3","M","V","V","V","V","V","V","V",
"+4","M","IV","IV","V","VI","VI","VI","VI",
"+5","M","D","D","3","D","D","D","D",
"+6","M","D","D","3","D","D","D","D"
